"key"	"en"	"fr"
"game-by"	"A game by"	"Un jeu de"
"pa-thanks_for_shoping"	"SuperSales thanks you for shoping with us today"	"Les magasins SuperSales vous remercient de votre visite"
"pa-please_checkout"	"Please bring all your items to the checkout now"	"Nous vous prions de bien vouloir vous diriger vers les caisses de payments"
"pa-jingle"	"*store jingle*"	"*jingle*"
"pa-attention_customer"	"Attention to all customers.\nThis store is closing in approximatively five minutes"	"À l'attention de tous nos clients.\nLe magazin ferme ses portes dans cinq minutes."
"pa-announcer"	"PA announcer"	"Annonce"
"pa-new_promotion"	"Attention customers. A new promotion is available"	"À tous nos clients. Une nouvelle promotion est disponible"
"bus_master"	"master volume"	"volume général"
"bus_music"	"musics volume"	"volume musiques"
"bus_sound"	"sounds volume"	"volume sons"
"fullscreen"	"fullscreen"	"plein écran"
"resolution"	"screen's resolution"	"résolution d'écran"
"game"	"Game"	"Vidéo"
"controller"	"Controller"	"Manette"
"mouse_keyboard"	"Mouse / keyboard"	"Clavier / souris"
"general_settings"	"Video / Volumes"	"Vidéo / Volumes"
"video_settings"	"Screen"	"Vidéo"
"volume_settings"	"Volumes"	"Volumes"
"settings_panel"	"Settings"	"Configurer"
"pause_panel"	"Pause"	"Pause"
"resume_game"	"Resume"	"Reprendre la partie"
"quit_game"	"Quit game"	"Quitter le jeu"
"credits_panel"	"Credits"	"Crédits"
"open"	"open"	"ouvrir"
"locked"	"locked"	"fermée"
"close"	"close"	"fermer"
"talk"	"talk"	"parler"
"interact_with"	"interact"	"intéragir"
"mouse"	"Mouse"	"Souris"
"keyboard"	"Keyboard"	"Clavier"
"mouse_sensitivity"	"Sensitivity"	"Sensibilité"
"mouse_invert_y"	"Invert Y axis"	"Inverser l'axe Y"
"controller_jump"	"Jump"	"Saut"
"controller_action"	"Action"	"Action"
"controller_move"	"Move"	"Déplacements"
"controller_camera"	"Camera"	"Caméra"
"set_scancode"	"-"	"-"
"waiting_for_input"	"Action: «%s»"	"Action: «%s»"
"escape_to_cancel"	"Escape to cancel"	"Échape pour annuler"
"no_scancode_yet"	"Nothing"	"Rien"
"credit_xelu_pack_title"	"Xelu's FREE Controllers & Keyboard Prompts"	"Pack gratuit d'icônes souris & clavier par Xelu"
"credit_xelu_pack_license"	"Creative Commons 0 (CC0)"	"Creative Commons 0 (CC0)"
"credit_xelu_pack_description"	"Every controller/keyboard prompt you'll find in this project (all under res://assets/images/buttons/controller) come from «Xelu's FREE Controllers & Keyboard Prompts» from Xelu (Nicolae Berbece).
This project only includes a subset of the pack but you can download the complete pack using the link below :"	"Tous les icônes de souris / clavier qui sont dans ce projet (toutes les images qui se trouvent dans le répertoire res://assets/images/buttons/controller) proviennent du «Xelu's FREE Controllers & Keyboard Prompts» créés par Xelu (Nicolae Berbece).
Ce projet ne contient que quelques-un des icônes. Le pack complet et disponible et téléchargeable gratuitement en utilisant les liens suivants :"
"credit_font_title"	"Used font"	"Police d'écriture utilisée"
"credit_font_license"	"SIL Open Font License 1.1"	"SIL Open Font License 1.1"
"credit_font_description"	"The font I used in this project is «Vollkorn-black». It's available to download at ffonts.net."	"La police utilisée dans ce projet est «Vollkorn-black». Elle est téléchargeable sur ffonts.net."
"credit_other_assets_title"	"Other assets"	"Autres ressources"
"credit_other_assets_license"	"MIT"	"MIT"
"credit_other_assets_description"	"I created all the other assets you'll find in this project. This means:
- All images used to texture the supermarket
- All 3D models
- All sounds (mostly made with https://sfxr.me)

Feel free to do whatever you want with these and this project."	"J'ai créé toutes les autres ressources de ce projet. À savoir:
- Les images qui servent à texturer le supermarché
- Tous les modèles 3D
- Tous les sons (principalement générés sur ce site https://sfxr.me)

N'hésitez pas à faire ce que vous voulez avec ces ressources et le projet lui-même."
"download_font"	"Link to download font"	"Lien de téléchargement de la police"
"download_xelu_pack"	"Link to download Xelu's pack"	"Lien de téléchargement du pack de Xelu"
"youtube_xelu"	"Xelu's Youtube chanel (it's great !)"	"Chaîne Youtube de Xelu (en anglais, mais super !)"
"key_move_forward"	"Forward"	"Avancer"
"key_move_backward"	"Backward"	"Reculer"
"key_move_left"	"Straf left"	"Gauche"
"key_move_right"	"Straf right"	"Droite"
